GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.controller,UserController,0,33,0,0,0,6,0,5,0,5
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.controller,AuthController,0,87,0,2,0,19,0,5,0,4
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.controller,WorkoutPlanController,13,22,0,0,2,5,2,3,2,3
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.controller,ActivityLogController,0,33,0,0,0,5,0,5,0,5
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.exception,AccessDeniedException,0,4,0,0,0,2,0,1,0,1
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.exception,GlobalExceptionHandler,51,9,0,0,7,2,6,2,6,2
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.exception,InvalidCredentialsException,0,4,0,0,0,2,0,1,0,1
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.exception,DuplicateResourceException,4,0,0,0,2,0,1,0,1,0
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.config,DataLoader,0,205,1,1,0,62,1,1,0,1
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.config,SwaggerConfig,0,17,0,0,0,3,0,2,0,2
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.config,PasswordConfig,0,7,0,0,0,2,0,2,0,2
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.security,JwtUtil,46,8,0,0,14,3,3,2,3,2
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.security,SecurityConfig,0,83,0,0,0,20,0,7,0,7
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.filter,JwtFilter,68,16,10,2,14,6,6,2,0,2
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack,FittrackApplication,5,3,0,0,2,1,1,1,1,1
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.mapper,UserMapper,15,73,6,6,3,11,6,3,0,3
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.mapper,WorkoutPlanMapper,0,43,0,0,0,6,0,2,0,2
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.mapper,ActivityLogMapper,2,67,2,2,0,8,2,2,0,2
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.service,WorkoutPlanServiceImpl,109,113,4,2,22,21,6,8,4,7
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.service,ReportService,162,4,0,0,43,1,4,1,4,1
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.service,UserServiceImpl,68,180,6,4,9,40,10,6,5,6
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/main/java,com.appventory.fittrack.service,ActivityLogServiceImpl,50,267,3,7,10,63,7,10,4,8
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/test/java,com.appventory.fittrack.controller,AuthControllerTest,0,203,0,0,0,44,0,6,0,6
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/test/java,com.appventory.fittrack.controller,UserControllerTest,0,219,0,0,0,30,0,8,0,8
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/test/java,com.appventory.fittrack.controller,ActivityLogControllerTest,0,263,0,0,0,71,0,7,0,7
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/test/java,com.appventory.fittrack.controller,WorkoutPlanControllerTest,0,198,0,0,0,40,0,5,0,5
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/test/java,com.appventory.fittrack,FittrackApplicationTests,0,7,0,0,0,3,0,2,0,2
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/test/java,com.appventory.fittrack.service,WorkoutPlanServiceTest,18,222,0,0,0,38,3,9,3,9
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/test/java,com.appventory.fittrack.service,UserServiceTest,0,301,0,0,0,42,0,7,0,7
fittrack (30-Aug-2025 7:06:10 pm)/fittrack/src/test/java,com.appventory.fittrack.service,ActivityLogServiceTest,24,500,0,0,0,109,4,11,4,11
